TradeDate;High;Low;Open;Close;PrevClose;EMA8;EMA22;EMA30;EMA4High;EMA4Low
2014/02/13;1287.03;1264.31;1275.84;1271.85;1278.22;1249.680291;1227.600764;1220.326626;1276.794445;1276.794445
2014/02/14;1285.63;1260.02;1274.96;1280.46;1271.85;1256.520226;1232.197219;1224.084962;1280.328667;1280.328667
2014/02/17;1282.65;1265.67;1281.22;1276.82;1280.46;1261.031287;1236.077461;1227.380902;1281.2572;1281.2572
2014/02/18;1283.17;1273.76;1277.42;1274.94;1276.82;1264.122112;1239.456812;1230.353346;1282.02232;1282.02232
2014/02/19;1279.14;1256.45;1275.48;1256.52;1274.94;1262.432754;1240.940568;1231.988761;1280.869392;1280.869392
2014/02/20;1258.88;1242.67;1251.18;1250.25;1256.52;1259.725475;1241.750084;1233.130089;1272.073635;1272.073635
2014/02/21;1260.11;1238.29;1252.94;1249.96;1250.25;1257.55537;1242.463989;1234.181958;1267.288181;1267.288181
2014/02/24;1248.69;1219.43;1248.69;1219.43;1249.96;1249.083065;1240.461034;1233.259961;1259.848909;1259.848909
2014/02/25;1261.92;1219.06;1219.85;1261.92;1219.43;1251.935717;1242.327031;1235.051213;1260.677345;1260.677345
2014/02/26;1306.15;1267.67;1267.67;1303.35;1261.92;1263.361114;1247.633376;1239.319888;1278.866407;1278.866407
2014/02/27;1306.84;1281.89;1303.42;1293.97;1303.35;1270.163088;1251.662648;1242.73552;1290.055844;1290.055844
2014/02/28;1315.16;1292.04;1292.04;1310.41;1293.97;1279.106846;1256.771113;1246.965175;1300.097507;1300.097507
2014/03/04;1326.06;1279.91;1292.91;1323.36;1310.41;1288.940881;1262.561451;1251.739851;1310.482504;1310.482504
2014/03/05;1336.05;1306.58;1326.79;1319.59;1323.36;1295.751796;1267.520455;1255.980485;1320.709502;1320.709502
2014/03/06;1336.09;1313.47;1313.6;1319.03;1319.59;1300.92473;1271.999546;1259.92108;1326.861701;1326.861701
2014/03/07;1345.9;1299.57;1316.42;1341.24;1319.03;1309.883679;1278.020455;1265.003513;1334.477021;1334.477021
2014/03/10;1358.56;1336.15;1337.75;1338.68;1341.24;1316.282862;1283.295198;1269.608293;1344.110213;1344.110213
2014/03/11;1360.47;1332.15;1341.78;1360.37;1338.68;1326.080003;1289.997355;1275.2809;1350.654128;1350.654128
2014/03/12;1367.16;1348.79;1356.15;1359.81;1360.37;1333.575558;1296.06802;1280.563969;1357.256477;1357.256477
2014/03/13;1359.34;1341.37;1356.87;1346.35;1359.81;1336.414323;1300.440366;1284.675596;1358.089886;1358.089886
2014/03/14;1339.15;1318.43;1334.63;1318.94;1346.35;1332.53114;1302.04903;1286.817121;1350.513932;1350.513932
2014/03/17;1367.65;1325.8;1325.8;1365.09;1318.94;1339.766442;1307.530853;1291.709176;1357.368359;1357.368359
